Offset,Correlation Value,p Value
0,-0.3575349268,1.04052471114009E-015
1,-0.2794967644,6.42221211069661E-010
2,-0.1544972784,0.0007673971
3,-0.0876236407,0.0576658833
4,0.0268108309,0.562467052
5,0.0855503835,0.0644318542
6,0.2022267294,1.06258995946629E-005
7,0.2342487064,3.14598712192193E-007
8,0.278070759,1.05491348989517E-009
9,0.281198795,7.01660951563099E-010
10,0.2596387708,1.43492149273783E-008
11,0.2784055169,1.13847264948674E-009
12,0.2315580493,4.98876597587739E-007
13,0.189022507,4.5057440948737E-005
14,0.1327334682,0.0043914851
15,0.13728755,0.0032399514
16,0.1150027466,0.0138971278
17,0.0321052768,0.4940536552
18,-0.0787519593,0.0933817492
19,-0.1477233947,0.0015981787
20,-0.235665175,3.90306178617845E-007
21,-0.2616424607,1.64378906131193E-008
22,-0.3570070283,5.29074148741961E-015
23,-0.3398079295,1.26298949856338E-013
24,-0.2882899417,4.83520475341687E-010
25,-0.2306060697,8.0549686336692E-007
26,-0.2266430759,1.28863358414262E-006
27,-0.1568418499,0.0008886528
28,-0.048766113,0.3046843918
29,0.0694591989,0.1439508
30,0.1343977868,0.0046023987
31,0.1905536105,5.53471181279352E-005
32,0.2175938588,3.99051202726319E-006
33,0.2516517408,8.7947402027666E-008
34,0.2457268467,1.84785447387981E-007
35,0.2279142596,1.43672846553144E-006
36,0.1989950514,2.78999397216317E-005
37,0.2030964102,1.92670510066328E-005
38,0.1910223209,6.08206569547853E-005
39,0.1430402371,0.0028201744
40,0.0954060843,0.0472490358
41,0.0130370362,0.7870094004
42,-0.0476009609,0.3241769434
43,-0.1674336006,0.0004893608
44,-0.2278197596,0.000001863
45,-0.3064095292,9.35933604180011E-011
46,-0.2799083895,0.000000004
47,-0.2712913537,1.27043773203905E-008
48,-0.2785199962,5.19199766884537E-009
49,-0.2546514225,1.06071589060203E-007
50,-0.1906591354,7.94906598634143E-005
51,-0.0890512423,0.0676165568
52,-0.0284832914,0.5600219373
53,0.0759994919,0.1199141414
54,0.1113997239,0.0225729571
55,0.1901662235,9.15080823933323E-005
56,0.1915352091,8.28442965272735E-005
57,0.2035785848,2.86926073218563E-005
58,0.2167472545,8.38027305927191E-006
59,0.2246506194,3.90679367878732E-006
60,0.2183610192,0.000007523
61,0.2023034853,3.52356333495063E-005
62,0.231856731,2.02370834356813E-006
63,0.1838789402,0.0001812087
64,0.1453619737,0.0032146356
65,0.0452474298,0.3619707956
66,-0.0663327781,0.181690198
67,-0.1873130754,0.0001468892
68,-0.194089543,8.44697516777944E-005
69,-0.2398976638,1.06970409963116E-006
70,-0.2571172662,1.66051947982483E-007
71,-0.3015077183,6.80466825898934E-010
72,-0.2936350521,0.000000002
73,-0.2400931494,1.18531963675366E-006
74,-0.1557933258,0.0018006346
75,-0.0787107315,0.1169351925
76,0.0067440514,0.8934404615
77,0.0944102933,0.0605185754
78,0.1615651323,0.0012727222
79,0.1474250321,0.0033565174
80,0.2163006205,1.52084004074737E-005
81,0.2050812255,0.000042952
82,0.2045726834,4.59368493737067E-005
83,0.1733053224,0.0005869652
84,0.1801485471,0.0003557459
85,0.169684328,0.0007908489
86,0.1656730724,0.0010706769
87,0.1421392908,0.0051459045
88,0.0941866415,0.0648672249
89,0.0218697431,0.6692251748
90,-0.0790792674,0.1223526613
91,-0.1402654738,0.0060314389
92,-0.1807853868,0.0003904437
93,-0.2332238368,4.329359584865E-006
94,-0.2733461371,0.000000064
95,-0.2259018187,9.20951131839085E-006
96,-0.2298579077,6.52183485079549E-006
