"","time","sentiment.ts","ncrimes","sentcat","ratecat"
"1",1396841760,-917,2.75,"h","l"
"2",1396870560,-1751,6.25,"m","h"
"3",1396899360,-2599,5.25,"l","m"
"4",1396928160,-830,1.875,"h","l"
"5",1396956960,-1388,5.375,"m","m"
"6",1396985760,-1555,6.5,"m","h"
"7",1397014560,-773,1.5,"h","l"
"8",1397043360,-316,6.25,"h","h"
"9",1397072160,0,7.375,"h","h"
"10",1397100960,0,1.625,"h","l"
"11",1397129760,-347,3.875,"h","m"
"12",1397158560,-4891,7.25,"l","h"
"13",1397187360,-1097,3.625,"m","m"
"14",1397216160,-1710,4.25,"m","m"
"15",1397244960,-2349,5.875,"l","m"
"16",1397273760,-1033,5.625,"m","m"
"17",1397302560,-293,4.25,"h","m"
"18",1397331360,-999,5,"m","m"
"19",1397360160,-1627,5.75,"m","m"
"20",1397388960,-326,2.75,"h","l"
"21",1397417760,-1853,7.25,"m","h"
"22",1397446560,-1015,4.125,"m","m"
"23",1397475360,-2096,4.375,"m","m"
"24",1397504160,-2507,7.125,"l","h"
"25",1397532960,-1329,3.125,"m","m"
"26",1397561760,-3030,4.375,"l","m"
"27",1397590560,-4721,5.375,"l","m"
"28",1397619360,-1634,1.875,"m","l"
"29",1397648160,-1745,4,"m","m"
"30",1397676960,-3533,7,"l","h"
"31",1397705760,-1303,2.625,"m","l"
"32",1397734560,-2257,3.875,"l","m"
"33",1397763360,-4296,8.75,"l","h"
"34",1397792160,-1833,1.875,"m","l"
"35",1397820960,-1136,3.375,"m","m"
"36",1397849760,-1687,8.125,"m","h"
"37",1397878560,-1645,5.5,"m","m"
"38",1397907360,-642,2.875,"h","m"
"39",1397936160,-1222,6.75,"m","h"
"40",1397964960,-1696,3.375,"m","m"
"41",1397993760,23,3.625,"h","m"
"42",1398022560,-2566,6.25,"l","h"
"43",1398051360,-1428,2.375,"m","l"
"44",1398080160,-1224,5.25,"m","m"
"45",1398108960,-3613,5.875,"l","m"
"46",1398137760,-1370,2.25,"m","l"
"47",1398166560,-2047,4.125,"m","m"
"48",1398195360,-3634,6.875,"l","h"
"49",1398224160,-1452,2.375,"m","l"
"50",1398252960,-2216,5.375,"m","m"
"51",1398281760,-2489,7,"l","h"
"52",1398310560,-45,2.25,"h","l"
"53",1398339360,-1182,3.25,"m","m"
"54",1398368160,-3071,6,"l","h"
"55",1398396960,-754,2.625,"h","l"
"56",1398425760,-1503,3,"m","m"
"57",1398454560,-2883,5,"l","m"
"58",1398483360,-1317,3.125,"m","m"
"59",1398512160,-3,1.875,"h","l"
"60",1398540960,0,0,"h","l"
