"","ctime","intertime","cwma","ratecat"
"1013",1396841760,360,725.806451612903,"m"
"1014",1396842000,240,675.483870967742,"m"
"1015",1396843200,1200,706.451612903226,"m"
"1016",1396846800,3600,812.903225806452,"h"
"1017",1396846800,0,725.806451612903,"l"
"1018",1396846860,60,698.709677419355,"m"
"1019",1396848480,1620,750.967741935484,"h"
"1020",1396848600,120,754.838709677419,"m"
"1021",1396850460,1860,797.41935483871,"h"
"1022",1396854300,3840,783.870967741935,"h"
"1023",1396857300,3000,861.290322580645,"h"
"1024",1396857600,300,855.483870967742,"m"
"1025",1396858500,900,841.935483870968,"m"
"1026",1396859400,900,870.967741935484,"m"
"1027",1396859700,300,880.645161290323,"m"
"1028",1396860840,1140,917.41935483871,"m"
"1029",1396861200,360,888.387096774194,"m"
"1030",1396861320,120,892.258064516129,"m"
"1031",1396864800,3480,987.096774193548,"h"
"1032",1396866600,1800,987.096774193548,"h"
"1033",1396870200,3600,1045.16129032258,"h"
"1034",1396870200,0,1045.16129032258,"l"
"1035",1396872000,1800,1103.22580645161,"h"
"1036",1396872000,0,1095.48387096774,"l"
"1037",1396872000,0,1064.51612903226,"l"
"1038",1396872000,0,1045.16129032258,"l"
"1039",1396873800,1800,1103.22580645161,"h"
"1040",1396873800,0,1064.51612903226,"l"
"1041",1396874700,900,1093.54838709677,"m"
"1042",1396875000,300,1083.87096774194,"m"
"1043",1396875600,600,1103.22580645161,"m"
"1044",1396875600,0,1091.61290322581,"l"
"1045",1396877100,1500,1132.25806451613,"h"
"1046",1396878000,900,1122.58064516129,"m"
"1047",1396878300,300,1016.12903225806,"m"
"1048",1396878300,0,1016.12903225806,"l"
"1049",1396878300,0,1014.1935483871,"l"
"1050",1396879200,900,990.967741935484,"m"
"1051",1396880100,900,1016.12903225806,"m"
"1052",1396880400,300,965.806451612903,"m"
"1053",1396881900,1500,890.322580645161,"h"
"1054",1396882800,900,822.58064516129,"m"
"1055",1396882800,0,812.903225806452,"l"
"1056",1396882800,0,783.870967741935,"l"
"1057",1396882800,0,754.838709677419,"l"
"1058",1396882800,0,745.161290322581,"l"
"1059",1396886400,3600,824.516129032258,"h"
"1060",1396886400,0,812.903225806452,"l"
"1061",1396886400,0,809.032258064516,"l"
"1062",1396887360,960,727.741935483871,"m"
"1063",1396888200,840,696.774193548387,"m"
"1064",1396888200,0,580.645161290323,"l"
"1065",1396889880,1680,634.838709677419,"h"
"1066",1396890000,120,580.645161290323,"m"
"1067",1396891200,1200,619.354838709677,"m"
"1068",1396891380,180,625.161290322581,"m"
"1069",1396891800,420,638.709677419355,"m"
"1070",1396892400,600,600,"m"
"1071",1396893600,1200,638.709677419355,"m"
"1072",1396894560,960,640.645161290323,"m"
"1073",1396894560,0,630.967741935484,"l"
"1074",1396897200,2640,696.774193548387,"h"
"1075",1396897200,0,696.774193548387,"l"
"1076",1396897200,0,648.387096774194,"l"
"1077",1396897200,0,619.354838709677,"l"
"1078",1396897200,0,609.677419354839,"l"
"1079",1396897200,0,609.677419354839,"l"
"1080",1396897200,0,609.677419354839,"l"
"1081",1396898400,1200,619.354838709677,"m"
"1082",1396898400,0,590.322580645161,"l"
"1083",1396898908,508,597.032258064516,"m"
"1084",1396899000,92,551.612903225806,"m"
"1085",1396899900,900,551.612903225806,"m"
"1086",1396900800,900,580.645161290323,"m"
"1087",1396900800,0,580.645161290323,"l"
"1088",1396901400,600,600,"m"
"1089",1396901700,300,609.677419354839,"m"
"1090",1396902600,900,522.58064516129,"m"
"1091",1396903800,1200,561.290322580645,"m"
"1092",1396905600,1800,619.354838709677,"h"
"1093",1396908480,2880,681.290322580645,"h"
"1094",1396909800,1320,696.774193548387,"h"
"1095",1396909800,0,696.774193548387,"l"
"1096",1396909800,0,642.58064516129,"l"
"1097",1396910700,900,667.741935483871,"m"
"1098",1396912200,1500,677.41935483871,"h"
"1099",1396913400,1200,710.322580645161,"m"
"1100",1396914300,900,725.806451612903,"m"
"1101",1396914540,240,714.193548387097,"m"
"1102",1396915200,660,696.774193548387,"m"
"1103",1396915200,0,665.806451612903,"l"
"1104",1396915200,0,665.806451612903,"l"
"1105",1396915260,60,582.58064516129,"m"
"1106",1396916100,840,609.677419354839,"m"
"1107",1396917000,900,638.709677419355,"m"
"1108",1396918620,1620,690.967741935484,"h"
"1109",1396918800,180,696.774193548387,"m"
"1110",1396920360,1560,747.096774193548,"h"
"1111",1396921200,840,774.193548387097,"m"
"1112",1396921800,600,754.838709677419,"m"
"1113",1396922400,600,774.193548387097,"m"
"1114",1396923000,600,777.161290322581,"m"
"1115",1396923420,420,787.741935483871,"m"
"1116",1396924200,780,783.870967741935,"m"
"1117",1396924200,0,754.838709677419,"l"
"1118",1396924200,0,754.838709677419,"l"
"1119",1396924200,0,735.483870967742,"l"
"1120",1396925400,1200,764.516129032258,"m"
"1121",1396926000,600,754.838709677419,"m"
"1122",1396926000,0,716.129032258065,"l"
"1123",1396926000,0,658.064516129032,"l"
"1124",1396926000,0,565.161290322581,"l"
"1125",1396926000,0,522.58064516129,"l"
"1126",1396927200,1200,561.290322580645,"m"
"1127",1396929600,2400,638.709677419355,"h"
"1128",1396933200,3600,725.806451612903,"h"
"1129",1396933200,0,677.41935483871,"l"
"1130",1396933260,60,640.645161290323,"m"
"1131",1396935000,1740,667.741935483871,"h"
"1132",1396935180,180,665.806451612903,"m"
"1133",1396936800,1620,696.774193548387,"h"
"1134",1396939020,2220,768.387096774194,"h"
"1135",1396939500,480,783.870967741935,"m"
"1136",1396941300,1800,840,"h"
"1137",1396941300,0,812.903225806452,"l"
"1138",1396945339,4039,914.161290322581,"h"
"1139",1396951200,5861,1050.96774193548,"h"
"1140",1396952700,1500,1093.54838709677,"h"
"1141",1396954800,2100,1110.96774193548,"h"
"1142",1396958400,3600,1200,"h"
"1143",1396958400,0,1180.64516129032,"l"
"1144",1396959600,1200,1200,"m"
"1145",1396960200,600,1200,"m"
"1146",1396960200,0,1186.45161290323,"l"
"1147",1396960980,780,1186.45161290323,"m"
"1148",1396962000,1020,1219.35483870968,"m"
"1149",1396962000,0,1219.35483870968,"l"
"1150",1396963800,1800,1277.41935483871,"h"
"1151",1396964700,900,1267.74193548387,"m"
"1152",1396965600,900,1277.41935483871,"m"
"1153",1396965600,0,1277.41935483871,"l"
"1154",1396966140,540,1294.83870967742,"m"
"1155",1396967400,1260,1335.48387096774,"h"
"1156",1396967580,180,1341.29032258065,"m"
"1157",1396968000,420,1316.12903225806,"m"
"1158",1396969200,1200,1277.41935483871,"m"
"1159",1396969200,0,1161.29032258065,"l"
"1160",1396969200,0,1161.29032258065,"l"
"1161",1396970400,1200,1198.06451612903,"m"
"1162",1396970580,180,1147.74193548387,"m"
"1163",1396971000,420,1155.48387096774,"m"
"1164",1396971300,300,1112.90322580645,"m"
"1165",1396971900,600,1060.64516129032,"m"
"1166",1396972800,900,1074.1935483871,"m"
"1167",1396972800,0,1016.12903225806,"l"
"1168",1396974000,1200,1054.83870967742,"m"
"1169",1396974000,0,924.548387096774,"l"
"1170",1396976400,2400,812.903225806452,"h"
"1171",1396976400,0,764.516129032258,"l"
"1172",1396978200,1800,754.838709677419,"h"
"1173",1396980000,1800,696.774193548387,"h"
"1174",1396980540,540,714.193548387097,"m"
"1175",1396981440,900,704.516129032258,"m"
"1176",1396981440,0,685.161290322581,"l"
"1177",1396981800,360,696.774193548387,"m"
"1178",1396982700,900,700.645161290323,"m"
"1179",1396983600,900,696.774193548387,"m"
"1180",1396984500,900,725.806451612903,"m"
"1181",1396984680,180,673.548387096774,"m"
"1182",1396985100,420,658.064516129032,"m"
"1183",1396985400,300,638.709677419355,"m"
"1184",1396985640,240,646.451612903226,"m"
"1185",1396987042,1402,674.258064516129,"h"
"1186",1396987200,158,638.709677419355,"m"
"1187",1396987200,0,632.903225806452,"l"
