"time","sent"
1396841839.55,"m"
1396842203.81,"m"
1396842426.32,"h"
1396842556.88,"m"
1396843355.21,"l"
1396843499.23,"m"
1396844833.57,"m"
1396846600.02,"h"
1396847114.99,"m"
1396850111.73,"m"
1396853123.33,"l"
1396854413.84,"m"
1396865391.37,"m"
1396866453.94,"h"
1396868661.5,"m"
1396871356.59,"m"
1396873912.11,"m"
1396874052.31,"h"
1396874639.96,"l"
1396875894.83,"m"
1396877836.07,"m"
1396879452.06,"m"
1396879760.16,"h"
1396880870.2,"m"
1396881364.78,"l"
1396882374.16,"m"
1396883981.84,"m"
1396885198.01,"h"
1396885618.24,"m"
1396887229.87,"m"
1396887882.75,"l"
1396888660.66,"m"
1396890328.2,"m"
1396890458.45,"h"
1396891970.57,"m"
1396893532.91,"m"
1396894004.54,"l"
1396895094.03,"m"
1396895980.1,"h"
1396896602.57,"m"
1396897887.14,"m"
1396899155.11,"m"
1396899331.86,"l"
1396900063.39,"h"
1396900240.6,"m"
1396901412.81,"m"
1396902492.77,"m"
1396903683.03,"m"
1396903846.96,"h"
1396904681.87,"l"
1396904838.72,"m"
1396905883.02,"m"
1396906967.51,"m"
1396907363.41,"h"
1396907939.77,"m"
1396909200.24,"m"
1396909332.61,"l"
1396910325.1,"m"
1396911358.17,"m"
1396911667.1,"h"
1396912328.7,"m"
1396913239.73,"m"
1396914110.21,"m"
1396914124.86,"l"
1396914655.48,"h"
1396915056.87,"m"
1396915820.35,"m"
1396916537.12,"m"
1396917115.15,"h"
1396917209.26,"m"
1396917662.28,"l"
1396917906.25,"m"
1396918602.82,"m"
1396919252.23,"m"
1396919551.08,"h"
1396919816.63,"m"
1396920377.26,"m"
1396920547.53,"l"
1396920962.52,"m"
1396921586.89,"m"
1396921852.76,"h"
1396922199.06,"m"
1396922760.7,"m"
1396923454.66,"m"
1396923768.9,"l"
1396923875.45,"h"
1396924220.27,"m"
1396925043.95,"m"
1396925670.93,"m"
1396928150.08,"m"
1396928231.47,"h"
1396928626.16,"l"
1396929140.04,"m"
1396930324.83,"m"
1396931816.9,"m"
1396933231.62,"h"
1396933644.75,"m"
1396935316.73,"l"
1396936411.6,"m"
1396940526.28,"m"
1396951256.6,"m"
1396953120.63,"h"
1396954796.43,"m"
1396957120.05,"m"
1396958692.35,"l"
1396959272.44,"m"
1396959654.38,"h"
1396961663.83,"m"
1396963556.77,"m"
1396965096.88,"m"
1396966429.45,"h"
1396966681.23,"l"
1396966799.06,"m"
1396968376.46,"m"
1396969996.53,"m"
1396971726.84,"m"
1396972264.42,"h"
1396973409.83,"m"
1396973654.95,"l"
1396974974.62,"m"
1396976828.75,"m"
1396977604.75,"h"
1396978263.41,"m"
1396979940.72,"m"
1396981176.54,"l"
1396981502.74,"m"
1396982793.65,"h"
1396982910.78,"m"
1396984196.97,"m"
1396985410.06,"m"
1396986656.42,"m"
1396987123.61,"l"
1396987327.16,"h"
1396988105.61,"m"
1396989454.77,"m"
1396990843.35,"m"
1396992055.72,"h"
1396992222.51,"m"
1396993555.9,"m"
1396993726.17,"l"
1396994895.64,"m"
1396996175.18,"m"
1396996558.62,"h"
1396997566.32,"m"
1396998817.09,"m"
1396999689.32,"l"
1396999959.93,"m"
1397000650.74,"h"
1397001059.68,"m"
1397002056.22,"m"
1397002960.4,"m"
1397009686.34,"m"
1397009941.9,"l"
1397010106.95,"h"
1397010425.43,"m"
1397011008.47,"m"
1397011730.91,"m"
1397012411.03,"h"
1397012509.06,"m"
1397013161.37,"l"
1397013399.93,"m"
1397014285.78,"m"
1397015454.14,"m"
1397015995.05,"h"
1397016632.92,"m"
1397018317.09,"m"
1397018669.3,"l"
1397020379.69,"m"
1397023061.83,"m"
1397024011.68,"h"
1397028836.38,"m"
1397039401.69,"m"
1397041443.08,"l"
1397041951.82,"m"
1397043566.26,"h"
1397044251.44,"m"
1397046305.33,"m"
1397048074.38,"m"
1397049572.52,"h"
1397049878.45,"m"
1397050806.7,"l"
1397153617.02,"m"
1397154939.77,"m"
1397155908.52,"m"
1397155966,"h"
1397156837.83,"m"
1397157627.85,"l"
1397157738.93,"m"
1397158595.72,"m"
1397158838.48,"h"
1397159532.56,"m"
1397160413.2,"m"
1397161239.38,"m"
1397161289.94,"l"
1397162045.77,"h"
1397162169.86,"m"
1397163061.67,"m"
1397163941.98,"m"
1397164844.12,"m"
1397165066.71,"l"
1397165093.27,"h"
1397165654.93,"m"
1397166515.51,"m"
1397167320.48,"m"
1397167951.89,"h"
1397168187.63,"m"
1397169052.04,"m"
1397169216.48,"l"
1397169921.52,"m"
1397170655.94,"m"
1397171059.96,"h"
1397171403.07,"m"
1397172216.64,"m"
1397172732.46,"l"
1397172952.7,"m"
1397173659.58,"m"
1397173732.09,"h"
1397174342.2,"m"
1397175053.14,"m"
1397175708.36,"m"
1397175766.47,"l"
1397175804.19,"h"
1397176245.69,"m"
1397176780.04,"m"
1397177321.1,"m"
1397177815.96,"m"
1397177868.63,"h"
1397178071.46,"l"
1397178345.14,"m"
1397178865.17,"m"
1397179336.1,"m"
1397179591.77,"h"
1397179845.32,"m"
1397180286.82,"m"
1397180339.75,"l"
1397180759.75,"m"
1397181182.2,"h"
1397181215.07,"m"
1397181654.41,"m"
1397182123.47,"m"
1397182258.38,"l"
1397182572.01,"m"
1397182819.07,"h"
1397183003.98,"m"
1397183448.14,"m"
1397183878.09,"m"
1397184036.24,"l"
1397184345.77,"m"
1397184474.98,"h"
1397184927.27,"m"
1397185397.5,"m"
1397185525.07,"l"
1397185889.77,"m"
1397186242.8,"h"
1397186424.75,"m"
1397187071.53,"m"
1397187723.33,"m"
1397187953.61,"l"
1397188441.47,"m"
1397188569.86,"h"
1397189296.72,"m"
1397190260.4,"m"
1397191286.21,"m"
1397191848.21,"l"
1397192064.76,"h"
1397192785.78,"m"
1397194454.18,"m"
1397196708.03,"m"
1397201802.74,"m"
1397204578.36,"h"
1397209463.07,"l"
1397209692.62,"m"
1397212930.11,"m"
1397214396.51,"h"
1397214596.67,"m"
1397216233.34,"m"
1397217564.17,"m"
1397218422.6,"l"
1397218694.43,"h"
1397218889.38,"m"
1397220102.34,"m"
1397221039.41,"m"
1397222180.31,"m"
1397222602.25,"h"
1397223277.18,"m"
1397223490.77,"l"
1397224200.32,"m"
1397225294.12,"m"
1397225739.61,"h"
1397226191.16,"m"
1397227080.27,"m"
1397227977.71,"m"
1397228068.91,"l"
1397228807.26,"m"
1397228884.34,"h"
1397229617.54,"m"
1397230560.42,"m"
1397231423.04,"m"
1397231836.79,"h"
1397232124.29,"l"
1397232425.51,"m"
1397233281.88,"m"
1397234155.76,"m"
1397235032.48,"h"
1397235050.42,"m"
1397236030.99,"m"
1397236813.94,"l"
1397236913.98,"m"
1397237825.43,"m"
1397238276.14,"h"
1397238755.93,"m"
1397239746.93,"m"
1397240558.68,"m"
1397241357.28,"h"
1397241358.42,"l"
1397241454.56,"m"
1397242414.03,"m"
1397243226.16,"m"
1397243928.85,"h"
1397244005.54,"m"
1397244903.27,"m"
1397245770.49,"m"
1397245802.47,"l"
1397246528.83,"m"
1397247222.06,"h"
1397247383.92,"m"
1397248340.01,"m"
1397249250.23,"m"
1397250127.08,"m"
1397250235.51,"l"
