"","ctime","intertime","cwma","ratecat"
"1056",1396841760,360,766.451612903226,"m"
"1057",1396842000,240,733.548387096774,"m"
"1058",1396843200,1200,714.193548387097,"m"
"1059",1396846800,3600,822.58064516129,"h"
"1060",1396846860,60,814.838709677419,"m"
"1061",1396848480,1620,780,"h"
"1062",1396848600,120,754.838709677419,"m"
"1063",1396854300,5700,938.709677419355,"h"
"1064",1396857300,3000,1035.48387096774,"h"
"1065",1396857600,300,1035.48387096774,"m"
"1066",1396859400,1800,1085.8064516129,"h"
"1067",1396859700,300,958.064516129032,"m"
"1068",1396860840,1140,975.483870967742,"m"
"1069",1396861200,360,971.612903225806,"m"
"1070",1396861320,120,932.903225806452,"m"
"1071",1396864800,3480,1045.16129032258,"h"
"1072",1396866600,1800,1103.22580645161,"h"
"1073",1396870200,3600,1219.35483870968,"h"
"1074",1396870200,0,1178.70967741935,"l"
"1075",1396872000,1800,1219.35483870968,"h"
"1076",1396872000,0,1161.29032258065,"l"
"1077",1396872000,0,1103.22580645161,"l"
"1078",1396872000,0,1103.22580645161,"l"
"1079",1396873800,1800,1161.29032258065,"h"
"1080",1396873800,0,1153.54838709677,"l"
"1081",1396874700,900,1151.61290322581,"m"
"1082",1396875000,300,1141.93548387097,"m"
"1083",1396875600,600,1161.29032258065,"m"
"1084",1396875600,0,1122.58064516129,"l"
"1085",1396877100,1500,1170.96774193548,"h"
"1086",1396878000,900,1180.64516129032,"m"
"1087",1396878300,300,1178.70967741935,"m"
"1088",1396878300,0,1170.96774193548,"l"
"1089",1396878300,0,1132.25806451613,"l"
"1090",1396879200,900,1045.16129032258,"m"
"1091",1396880100,900,1072.25806451613,"m"
"1092",1396880400,300,1029.67741935484,"m"
"1093",1396881900,1500,1074.1935483871,"h"
"1094",1396882800,900,919.354838709677,"m"
"1095",1396882800,0,822.58064516129,"l"
"1096",1396882800,0,812.903225806452,"l"
"1097",1396886400,3600,870.967741935484,"h"
"1098",1396886400,0,861.290322580645,"l"
"1099",1396887360,960,855.483870967742,"m"
"1100",1396888200,840,870.967741935484,"m"
"1101",1396888200,0,867.096774193548,"l"
"1102",1396889880,1680,809.032258064516,"h"
"1103",1396890000,120,754.838709677419,"m"
"1104",1396891200,1200,677.41935483871,"m"
"1105",1396891380,180,683.225806451613,"m"
"1106",1396891800,420,638.709677419355,"m"
"1107",1396892400,600,658.064516129032,"m"
"1108",1396893600,1200,696.774193548387,"m"
"1109",1396894560,960,727.741935483871,"m"
"1110",1396897200,2640,754.838709677419,"h"
"1111",1396897200,0,754.838709677419,"l"
"1112",1396897200,0,725.806451612903,"l"
"1113",1396897200,0,716.129032258065,"l"
"1114",1396898400,1200,735.483870967742,"m"
"1115",1396898908,508,751.870967741935,"m"
