"time","sent"
1396841824.47,"m"
1396842184.76,"m"
1396842234.13,"h"
1396842534.65,"m"
1396843216.25,"l"
1396843389.57,"m"
1396843999.03,"h"
1396844619.25,"m"
1396846604.12,"m"
1396848898.32,"h"
1396849385.42,"m"
1396852371.63,"l"
1396853242.83,"m"
1396862957.98,"m"
1396864371.37,"h"
1396867994.08,"m"
1396870609.6,"m"
1396872877.08,"h"
1396873220.63,"m"
1396873905.36,"l"
1396875203.65,"m"
1396877112.23,"m"
1396877941.49,"h"
1396878789.08,"m"
1396880206.26,"m"
1396880560.93,"l"
1396881415.87,"h"
1396881629.27,"m"
1396883147.31,"m"
1396884764.33,"m"
1396885532.31,"h"
1396886313.32,"m"
1396887171.5,"l"
1396887851.73,"m"
1396889062.06,"h"
1396889327.68,"m"
1396890850.53,"m"
1396892479.22,"m"
1396892537.62,"h"
1396892826.18,"l"
1396894016.74,"m"
1396895556.38,"m"
1396896099.14,"h"
1396896931.16,"m"
1396898253.93,"l"
1396898256.9,"m"
1396899114.47,"h"
1396899345.07,"m"
1396900476.67,"m"
1396901532.17,"m"
1396901927.84,"h"
1396902589.73,"m"
1396903520.01,"l"
1396903787.58,"m"
1396904890.39,"m"
1396905060.88,"h"
1396905895.73,"m"
1396906947.75,"m"
1396907636.49,"h"
1396907900.18,"m"
1396908206.02,"l"
1396909075.6,"m"
1396910230.33,"m"
1396910521.09,"h"
1396911237.05,"m"
1396912206.03,"m"
1396912855.36,"h"
1396912954.66,"l"
1396913051.26,"m"
1396913900.5,"m"
1396914825.04,"m"
1396915237.3,"h"
1396915613.43,"m"
1396916330.64,"m"
1396916765.37,"l"
1396916911.18,"h"
1396917012.41,"m"
1396917686.43,"m"
1396918349.86,"m"
1396918719,"h"
1396918973.15,"m"
1396919562.13,"m"
1396919657.93,"l"
1396920129.41,"m"
1396920180.21,"h"
1396920671.2,"m"
1396921267.63,"m"
1396921673.61,"h"
1396921887.67,"m"
1396922462.73,"m"
1396922634.35,"l"
1396923034.17,"m"
1396923234.7,"h"
1396923761.53,"m"
1396924483.13,"m"
1396924959.93,"h"
1396925260.58,"m"
1396925496.9,"l"
1396925840.52,"m"
1396928364.59,"m"
1396928538.45,"h"
1396929449.38,"m"
1396930565.51,"m"
1396931795.81,"h"
1396931970.91,"l"
1396932094.4,"m"
1396933985.27,"m"
1396936718.87,"m"
1396937044.37,"h"
1396941012.4,"m"
1396951650.79,"m"
1396953075.68,"l"
1396954850.22,"h"
1396954864.76,"m"
1396957142.58,"m"
1396959222.57,"m"
1396960494.47,"h"
1396961554.17,"m"
1396963455.3,"m"
1396963656.91,"l"
1396964972.17,"m"
1396965319.68,"h"
1396966624.6,"m"
1396968117.62,"m"
1396969088.46,"h"
1396969628.25,"m"
1396970036.77,"l"
1396971357.16,"m"
1396973075.54,"m"
1396973322.9,"h"
1396974541.62,"m"
1396976193.13,"m"
1396977256.02,"l"
1396977484.45,"h"
1396977815.28,"m"
1396979409.33,"m"
1396980948.62,"m"
1396981354.01,"h"
1396982361.47,"m"
1396983578.45,"m"
1396984123.18,"l"
1396984785.49,"m"
1396984803.31,"h"
1396986001.02,"m"
1396987306.37,"m"
1396988169.81,"h"
1396988746.97,"m"
1396989596.37,"l"
1396989954.42,"m"
1396991451.12,"m"
1396991813.06,"h"
1396992676.29,"m"
1396993959.92,"m"
1396995207.52,"h"
1396995277.34,"m"
1396996015.25,"l"
1396996555.09,"m"
1396997962.66,"m"
1396998469.07,"h"
1396999096.77,"m"
1397000155.08,"m"
1397001188.89,"h"
1397001231.28,"m"
1397001412.47,"l"
1397002188.4,"m"
1397009086.14,"m"
1397009345.18,"h"
1397009730.93,"m"
1397010463.97,"m"
1397010870.79,"l"
1397011023.83,"m"
1397011028.8,"h"
1397011730.09,"m"
1397012493,"m"
1397012971.94,"h"
1397013335.84,"m"
1397014141.42,"l"
1397014224.77,"m"
1397015271.17,"h"
1397015307.7,"m"
1397016447.9,"m"
1397018036.75,"m"
1397019450.01,"h"
1397019936.96,"m"
1397021284.28,"l"
1397022469.11,"m"
1397026926.55,"m"
1397028658.43,"h"
1397037556.93,"m"
1397041192.52,"m"
1397043540.97,"m"
1397043558.89,"h"
1397044412.19,"l"
1397045513.77,"m"
1397047318.66,"m"
1397048856.62,"h"
1397049114.03,"m"
1397050942.16,"m"
1397154150.97,"l"
1397154359.54,"m"
1397154671.64,"h"
1397155441.67,"m"
1397156323.33,"m"
1397156967.27,"h"
1397157219.94,"m"
1397158071.92,"m"
1397158270.23,"l"
1397158943.43,"m"
1397159225.51,"h"
1397159867.88,"m"
1397160688.21,"m"
1397161299.88,"h"
1397161545.68,"m"
1397161832.08,"l"
1397162415.08,"m"
1397163270.63,"m"
1397163544.24,"h"
1397164136.73,"m"
1397165004.89,"m"
1397165737.21,"h"
1397165787.72,"m"
1397165799.6,"l"
1397166634.57,"m"
1397167392.82,"m"
1397167901.41,"h"
1397168239.16,"m"
1397169086.74,"m"
1397169705.99,"l"
1397169932.06,"m"
1397170123.53,"h"
1397170651.44,"m"
1397171374.51,"m"
1397172136.06,"h"
1397172175.63,"m"
1397172867.92,"m"
1397172926.91,"l"
1397173571.43,"m"
1397173950.78,"h"
1397174245.85,"m"
1397174917.52,"m"
1397175601.57,"m"
1397175605.66,"h"
1397175880.47,"l"
1397176096.51,"m"
1397176641.72,"m"
1397176833.7,"h"
1397177150.48,"m"
1397177666.31,"m"
1397178125.73,"h"
1397178136.48,"l"
1397178169.45,"m"
1397178678.72,"m"
1397179159.74,"m"
1397179424.31,"h"
1397179636.15,"m"
1397180059.62,"m"
1397180333.1,"l"
1397180531.6,"m"
1397180556.51,"h"
1397180970.87,"m"
1397181427.01,"m"
1397181727.1,"h"
1397181851.2,"m"
1397182182.63,"l"
1397182290.79,"m"
1397182728.05,"m"
1397182740.88,"h"
1397183145.17,"m"
1397183606.43,"m"
1397183766.53,"h"
1397183943.03,"l"
1397184002.5,"m"
1397184502.93,"m"
1397184799.34,"h"
1397185038.63,"m"
1397185389.11,"l"
1397185495.31,"m"
1397185679.06,"h"
1397185991.44,"m"
1397186498.13,"m"
1397186919.69,"h"
1397187148.43,"m"
1397187606.09,"l"
1397187780.89,"m"
1397188491.64,"m"
1397188550.62,"h"
1397189314.84,"m"
1397190261.97,"m"
1397190733.52,"h"
1397190950.17,"l"
1397191261.74,"m"
1397192712.98,"m"
1397194333.16,"m"
1397194716.7,"h"
1397196389.61,"m"
1397201011.49,"m"
1397203493.98,"l"
1397206893.76,"h"
1397208968.84,"m"
1397212525.17,"m"
1397214258.7,"m"
1397214912.23,"h"
1397215760.02,"m"
1397217132.71,"m"
1397217263.46,"l"
1397218370.58,"h"
1397218508.19,"m"
1397219774.21,"m"
1397220663.82,"m"
1397221008.31,"h"
1397221701.96,"m"
1397222427.58,"l"
1397222888.02,"m"
1397223574.42,"h"
1397223741.01,"m"
1397224821.98,"m"
1397225769.81,"m"
1397226186.53,"h"
1397226594.32,"m"
1397226939.59,"l"
1397227466.89,"m"
1397228290.7,"m"
1397228427.69,"h"
1397229124.64,"m"
1397229945.49,"m"
1397230705.29,"h"
1397230829.54,"m"
1397230907.31,"l"
1397231715.76,"m"
1397232641.86,"m"
